rotation, pore group, number of pixels overlapping, percent overlap, number of meters per pixel, multiples pores overlapping
-1, 0_0, 2, 1.30718954248, 1e-06, 
-1, 0_1, 0, 0.0, 1e-06, 
-1, 0_2, 0, 0.0, 1e-06, 
-1, 0_3, 0, 0.0, 1e-06, 
-1, 1_0, 0, 0.0, 1e-06, 
-1, 1_1, 0, 0.0, 1e-06, 
-1, 1_2, 0, 0.0, 1e-06, 
-1, 1_3, 2, 1.30718954248, 1e-06, 
-1, 2_0, 2, 1.30718954248, 1e-06, 
-1, 2_1, 0, 0.0, 1e-06, 
-1, 2_2, 5, 1.59744408946, 1e-06, 
-1, 2_3, 4, 1.27795527157, 1e-06, 
-1, 3_0, 6, 1.91693290735, 1e-06, 
-1, 3_1, 1, 0.319488817891, 1e-06, 
-1, 3_2, 0, 0.0, 1e-06, 
-1, 3_3, 0, 0.0, 1e-06, 
0, 0_0, 0, 0.0, 1e-06, 
0, 0_1, 0, 0.0, 1e-06, 
0, 0_2, 0, 0.0, 1e-06, 
0, 0_3, 0, 0.0, 1e-06, 
0, 1_0, 0, 0.0, 1e-06, 
0, 1_1, 0, 0.0, 1e-06, 
0, 1_2, 0, 0.0, 1e-06, 
0, 1_3, 0, 0.0, 1e-06, 
0, 2_0, 0, 0.0, 1e-06, 
0, 2_1, 0, 0.0, 1e-06, 
0, 2_2, 4, 1.27795527157, 1e-06, 
0, 2_3, 4, 1.27795527157, 1e-06, 
0, 3_0, 4, 1.27795527157, 1e-06, 
0, 3_1, 4, 1.27795527157, 1e-06, 
0, 3_2, 0, 0.0, 1e-06, 
0, 3_3, 0, 0.0, 1e-06, 
1, 0_0, 2, 1.30718954248, 1e-06, 
1, 0_1, 0, 0.0, 1e-06, 
1, 0_2, 0, 0.0, 1e-06, 
1, 0_3, 0, 0.0, 1e-06, 
1, 1_0, 0, 0.0, 1e-06, 
1, 1_1, 0, 0.0, 1e-06, 
1, 1_2, 0, 0.0, 1e-06, 
1, 1_3, 2, 1.30718954248, 1e-06, 
1, 2_0, 2, 1.30718954248, 1e-06, 
1, 2_1, 0, 0.0, 1e-06, 
1, 2_2, 1, 0.319488817891, 1e-06, 
1, 2_3, 6, 1.91693290735, 1e-06, 
1, 3_0, 4, 1.27795527157, 1e-06, 
1, 3_1, 5, 1.59744408946, 1e-06, 
1, 3_2, 0, 0.0, 1e-06, 
1, 3_3, 0, 0.0, 1e-06, 
0, 0_0, 0, 0.0, 1e-06, 
0, 0_1, 0, 0.0, 1e-06, 
0, 0_2, 0, 0.0, 1e-06, 
0, 0_3, 0, 0.0, 1e-06, 
0, 1_0, 0, 0.0, 1e-06, 
0, 1_1, 0, 0.0, 1e-06, 
0, 1_2, 0, 0.0, 1e-06, 
0, 1_3, 0, 0.0, 1e-06, 
0, 2_0, 0, 0.0, 1e-06, 
0, 2_1, 0, 0.0, 1e-06, 
0, 2_2, 4, 1.27795527157, 1e-06, 
0, 2_3, 4, 1.27795527157, 1e-06, 
0, 3_0, 4, 1.27795527157, 1e-06, 
0, 3_1, 4, 1.27795527157, 1e-06, 
0, 3_2, 0, 0.0, 1e-06, 
0, 3_3, 0, 0.0, 1e-06, 
-1, 0_0, 2, 1.30718954248, 1e-06, 
-1, 0_1, 0, 0.0, 1e-06, 
-1, 0_2, 0, 0.0, 1e-06, 
-1, 0_3, 0, 0.0, 1e-06, 
-1, 1_0, 0, 0.0, 1e-06, 
-1, 1_1, 0, 0.0, 1e-06, 
-1, 1_2, 0, 0.0, 1e-06, 
-1, 1_3, 2, 1.30718954248, 1e-06, 
-1, 2_0, 2, 1.30718954248, 1e-06, 
-1, 2_1, 0, 0.0, 1e-06, 
-1, 2_2, 5, 1.59744408946, 1e-06, 
-1, 2_3, 4, 1.27795527157, 1e-06, 
-1, 3_0, 6, 1.91693290735, 1e-06, 
-1, 3_1, 1, 0.319488817891, 1e-06, 
-1, 3_2, 0, 0.0, 1e-06, 
-1, 3_3, 0, 0.0, 1e-06, 
