x1,y1,x2,y2
16758,14912,16759,14912
16772,14926,16773,14926
16787,14940,16787,14940
16801,14954,16801,14955
16815,14968,16816,14969
16829,14982,16830,14983
16843,14996,16844,14997
16857,15010,16858,15011
16871,15024,16872,15026
16885,15038,16887,15040
16899,15052,16901,15054
16913,15066,16915,15068
11341,15059,11343,15061
11203,14890,11203,14891
11264,15074,11265,15075
11294,15074,11296,15075
11325,15074,11327,15075
11278,15088,11280,15089
11308,15088,11310,15089
11292,15102,11294,15104
11344,15031,11346,15033
11374,15031,11376,15033
11231,14919,11232,14919
11236,15046,11237,15047
11266,15045,11268,15047
11297,15045,11298,15047
11327,15045,11329,15047
11358,15045,11360,15047
11262,14919,11263,14919
11250,15060,11251,15061
11280,15060,11282,15061
11311,15059,11313,15061
11154,14933,11154,14933
11184,14933,11185,14933
11215,14933,11215,14933
11245,14933,11246,14933
11276,14933,11277,14933
11234,14890,11234,14891
11137,14947,11137,14947
11168,14947,11168,14947
11198,14947,11199,14947
11229,14947,11230,14948
11259,14947,11260,14948
11290,14947,11291,14948
11187,14905,11187,14905
11151,14961,11152,14962
11182,14961,11182,14962
11212,14961,11213,14962
11243,14961,11244,14962
11273,14961,11274,14962
11304,14961,11305,14962
11217,14905,11218,14905
11165,14975,11166,14976
11196,14975,11197,14976
11226,14975,11227,14976
11257,14975,11258,14976
11288,14975,11289,14976
11318,14975,11319,14976
11248,14904,11248,14905
11179,14989,11180,14990
11210,14989,11211,14990
11240,14989,11241,14990
11271,14989,11272,14990
11302,14989,11303,14990
11332,14989,11334,14990
11220,14876,11220,14877
11193,15003,11194,15004
11224,15003,11225,15004
11255,15003,11256,15004
11285,15003,11286,15004
11316,15003,11317,15004
11346,15003,11348,15005
11170,14919,11170,14919
11208,15017,11208,15018
11238,15017,11239,15018
11269,15017,11270,15019
11299,15017,11301,15019
11330,15017,11331,15019
11360,15017,11362,15019
11201,14919,11201,14919
11222,15031,11223,15033
11252,15031,11253,15033
11283,15031,11284,15033
11313,15031,11315,15033
11217,10205,11218,10205
11248,10204,11248,10205
11170,10219,11170,10219
11201,10219,11201,10219
11231,10219,11232,10219
11262,10219,11263,10219
11154,10233,11154,10233
11184,10233,11185,10233
11215,10233,11215,10233
11245,10233,11246,10233
11276,10233,11277,10233
11137,10247,11137,10247
11168,10247,11168,10247
11198,10247,11199,10247
11229,10247,11230,10248
11259,10247,11260,10248
11290,10247,11291,10248
11151,10261,11152,10262
11182,10261,11182,10262
11212,10261,11213,10262
11243,10261,11244,10262
11273,10261,11274,10262
11304,10261,11305,10262
11165,10275,11166,10276
11196,10275,11197,10276
11226,10275,11227,10276
11257,10275,11258,10276
11288,10275,11289,10276
11318,10275,11319,10276
11179,10289,11180,10290
11210,10289,11211,10290
11240,10289,11241,10290
11271,10289,11272,10290
11302,10289,11303,10290
11332,10289,11334,10290
11193,10303,11194,10304
11224,10303,11225,10304
11255,10303,11256,10304
11285,10303,11286,10304
11316,10303,11317,10304
11346,10303,11348,10305
11208,10317,11208,10318
11238,10317,11239,10318
11269,10317,11270,10319
11299,10317,11301,10319
11330,10317,11331,10319
11360,10317,11362,10319
11222,10331,11223,10333
11252,10331,11253,10333
11283,10331,11284,10333
11313,10331,11315,10333
11344,10331,11346,10333
11374,10331,11376,10333
11236,10346,11237,10347
11266,10345,11268,10347
